%	#	columns="iteration,	evaluation,	sigma,	axis	ratio,	bestever,	best,	median,	worst	objective	function	value,	further	objective	values	of	best",	seed=398758,	Sun	Nov	27	02:51:11	2016
1	7	0.887360554313	1.0	-2.29451845161	-2.2909175412125253e+00	-1.90657499247	-1.64011953443	1.0	1.0
2	13	0.659938869053	1.08365463278	-2.29451845161	-2.2835919649286498e+00	-1.64011953443	-1.54429917967	1.0	1.0
3	19	0.643359876581	1.05683322924	-2.36201752057	-2.3620175205720209e+00	-1.92427644596	-1.90142801151	1.0	1.0
4	25	0.595270212302	1.30672877903	-2.36201752057	-2.1354468631087449e+00	-1.77103711355	-1.36879357551	1.0	1.0
5	31	0.713283530789	1.15155623381	-2.42390779393	-2.4239077939289375e+00	-1.91967651	-1.53051529287	3.38182438334	3.38182438334
6	37	0.608158192297	1.16832559464	-2.42390779393	-2.1963725586295779e+00	-1.73347607369	-1.48937345962	3.38182438334	3.38182438334
7	43	0.453495616014	1.16083326989	-2.42390779393	-2.2833835669535940e+00	-1.96239710247	-1.70380967173	3.38182438334	3.38182438334
8	49	0.410078252939	1.2068888375	-2.42390779393	-2.1976246306980256e+00	-1.79872342242	-2.02923836252	3.38182438334	3.38182438334
9	55	0.432923349102	1.16706728067	-2.42390779393	-2.1818524583236028e+00	-1.74067168542	-1.74773403162	3.38182438334	3.38182438334
10	61	0.385996299931	1.43904880581	-2.42390779393	-2.1072325224003126e+00	-1.73859936555	-1.71749826958	3.38182438334	3.38182438334
11	67	0.313216831814	1.42450230824	-2.42390779393	-2.3147519548320421e+00	-2.08461129951	-1.74649183347	3.38182438334	3.38182438334
12	73	0.298556332768	1.4273165691	-2.42390779393	-2.0390034360918885e+00	-1.9279291355	-1.79291629601	3.38182438334	3.38182438334
13	79	0.264520971179	1.25202372041	-2.59755678298	-2.5975567829757154e+00	-1.95891891629	-1.83762551356	3.38182438334	3.38182438334
14	85	0.236647322538	1.31032190187	-2.59755678298	-2.1933608657237103e+00	-1.90648618788	-1.80202521299	3.38182438334	3.38182438334
15	91	0.220204493113	1.33759022418	-2.59755678298	-1.9870993938520607e+00	-1.85849284253	-1.52756374804	3.38182438334	3.38182438334
16	97	0.239116869554	1.49974755022	-2.59755678298	-2.2058933267738845e+00	-1.8391092395	-1.7276794117	3.38182438334	3.38182438334
17	103	0.340215172381	1.54218453317	-2.59755678298	-2.0381291015597927e+00	-1.80763021033	-1.7785493479	3.38182438334	3.38182438334
18	109	0.479192157029	1.31530993072	-2.59755678298	-2.3064523792964313e+00	-1.91960463184	-1.61156012483	3.38182438334	3.38182438334
19	115	0.584749452383	1.83309380403	-2.59755678298	-2.3878218886880771e+00	-1.92131960399	-1.85494138761	3.38182438334	3.38182438334
20	121	0.548254727841	2.01519639031	-2.59755678298	-2.3772065492385606e+00	-1.87590571401	-1.65567773541	3.38182438334	3.38182438334
21	127	0.610439228581	1.91341886454	-2.59755678298	-2.3274125997935444e+00	-1.85277569728	-1.59407744348	3.38182438334	3.38182438334
22	133	0.669214725047	2.46992454244	-2.59755678298	-2.0170611157930063e+00	-1.83919783053	-1.62769161641	3.38182438334	3.38182438334
23	139	0.490034221032	2.141224495	-2.59755678298	-2.2881921488561914e+00	-2.01227113565	-2.16665407548	3.38182438334	3.38182438334
24	145	0.516144765879	2.13042619683	-2.59755678298	-2.1574434401208191e+00	-1.91266517132	-1.76464561109	3.38182438334	3.38182438334
25	151	0.590890847516	1.83761418946	-2.59755678298	-2.2195519803475898e+00	-2.1796406064	-1.97481878003	3.38182438334	3.38182438334
26	157	0.50456139895	2.38600131444	-2.59755678298	-1.9903623383421789e+00	-1.64011953443	-1.96851943044	3.38182438334	3.38182438334
27	163	0.56749216429	2.29508300804	-2.59755678298	-2.1632793787934204e+00	-1.84851105767	-1.80658496107	3.38182438334	3.38182438334
28	169	0.727181910324	2.3448407313	-2.59755678298	-2.4151285429464764e+00	-1.92148532427	-1.54029149314	3.38182438334	3.38182438334
29	175	0.691103508673	2.54133714846	-2.59755678298	-2.5132139334948929e+00	-1.52059952444	-1.49617142853	3.38182438334	3.38182438334
30	181	0.514081444286	2.78552721583	-2.59755678298	-2.4846440561960521e+00	-1.85037552255	-1.49269833971	3.38182438334	3.38182438334
31	187	0.530245128323	2.86214961119	-2.59755678298	-2.1080988690856346e+00	-1.85743889079	-1.53607970226	3.38182438334	3.38182438334
32	193	0.42049374481	2.8621325388	-2.59755678298	-2.4731546121524381e+00	-1.89672064235	-1.55881638317	3.38182438334	3.38182438334
33	199	0.389753611388	2.98041987718	-2.59755678298	-2.3654532889515636e+00	-1.98471506386	-1.81504346053	3.38182438334	3.38182438334
34	205	0.331875998418	2.54275223374	-2.59755678298	-2.1605916549495903e+00	-1.8210095152	-1.58686727634	3.38182438334	3.38182438334
