% # columns=["iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=313199, Sun Nov 27 13:44:52 2016
0 1 1 0 0 1.00000017713 1.00000021859 1.00000022289 0.999999882897 0.999999837694 1.00000019719
1 10 0.840626688751 0 0 0.812325403969 0.809505148766 0.818915634811 0.826541800918 0.815133971165 0.811284333261
2 19 0.774054446583 0 0 0.777186841397 0.737085222366 0.729416956589 0.732542645908 0.734270388617 0.721233226794
3 28 0.697439174931 0 0 0.704863500044 0.640634437773 0.656130860874 0.640532407636 0.644273967879 0.651269639267
4 37 0.636781063839 0 0 0.633033858917 0.568135454492 0.576833405645 0.566724625556 0.594857155729 0.573792887491
5 46 0.597782925258 0 0 0.574435642691 0.527964263105 0.530657738492 0.512030505183 0.558676262676 0.543380993377
6 55 0.558610931499 0 0 0.517352820072 0.500681018447 0.483117447061 0.470652161586 0.51989593491 0.514724271372
7 64 0.482295459871 0 0 0.438150450285 0.421103455852 0.405378899967 0.394540813079 0.434344742119 0.437758945178
8 73 0.430603271666 0 0 0.393993111146 0.371017457893 0.349619031301 0.347947961727 0.37637525772 0.376796748443
9 82 0.456002825429 0 0 0.466225806624 0.389840539134 0.365806673904 0.354410692857 0.389420587191 0.391519435178
10 91 0.402280263308 0 0 0.401271373823 0.338731929428 0.311934725864 0.301761549211 0.350665633259 0.334895768423
11 100 0.392199533064 0 0 0.381978167231 0.320966587528 0.294216503193 0.285360814309 0.328459612124 0.34908288175
12 109 0.416197473014 0 0 0.421995973562 0.353651808637 0.302406912748 0.301801436296 0.339797681922 0.381598075573
13 118 0.400618804075 0 0 0.410107263719 0.331650595229 0.285674799925 0.290509559455 0.317169330037 0.364633648915
14 127 0.387032481859 0 0 0.395650450237 0.313008779206 0.268353766573 0.280823996107 0.313377515495 0.365358284877
15 136 0.351863299697 0 0 0.360502901221 0.283787297394 0.236830968392 0.246290409318 0.27797359171 0.320771440932
16 145 0.392253750544 0 0 0.393885595477 0.305783463056 0.302846252189 0.26817442422 0.324070855324 0.34954890633
17 154 0.369708061858 0 0 0.365875682084 0.291648247195 0.278686004364 0.243016047099 0.321678899754 0.316726060338
18 163 0.342074505733 0 0 0.327286676714 0.267273183942 0.253691341072 0.216044713729 0.289797862161 0.288517461315
19 172 0.374375491501 0 0 0.345925743954 0.286840609673 0.29213284864 0.23122375031 0.322151310059 0.316696108239
20 181 0.377770561113 0 0 0.372036779424 0.279648594179 0.299941049566 0.224663231384 0.32434194802 0.33162517788
21 190 0.33839643894 0 0 0.327515657747 0.244410300577 0.261228946602 0.197465422936 0.290263049569 0.28983119371
22 199 0.339226594607 0 0 0.340097879923 0.239278398009 0.259930202994 0.191852608401 0.298475651912 0.298726740472
23 208 0.327025723676 0 0 0.321777262209 0.232659987707 0.263339896958 0.184322351154 0.283877671128 0.280283568191
