iteration,	evaluation,	sigma,	axis ratio,	bestever,	best,	median,	worst	objective	function	value,	further	objective	values	of	best",	seed=391692,	Sun	Nov	27	17:04:31	2016
1	11	0.93166564217	1.0	-1.94327203275	-1.6549503592650061e+00	-0.187851601219	-0.266123199868	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2	21	0.851520516402	1.10238961024	-1.94327203275	-1.6687734603411355e+00	-0.148005355146	-1.73539922293	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527
3	31	0.772237804622	1.18010474382	-2.45445837291	-2.4544583729060947e+00	-0.269407774246	-1.97392054245	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527
4	41	0.7526189335	1.18215223487	-2.45445837291	-1.9825293962485335e+00	-1.46339320907	-0.278875263101	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527
5	51	0.702471296704	1.20251431449	-2.45445837291	-1.8641386569329050e+00	-1.77077082566	-0.269939476326	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527
6	61	0.679267135481	1.27592003667	-2.45445837291	-1.9104530070812802e+00	-1.86767230665	-1.87932588329	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527
7	71	0.641394413394	1.31521350809	-2.45445837291	-1.8259780222454975e+00	-0.263604411609	-0.281484951002	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527
8	81	0.590888704543	1.36790394948	-2.45445837291	-1.9889777753443290e+00	-2.22009482129	-0.25573003977	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527
9	91	0.620299206788	1.37053388966	-2.45445837291	-2.2759012544444754e+00	-0.474618108585	-0.193259357866	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527
10	101	0.639129730591	1.46840113605	-2.45445837291	-1.8670247317395197e+00	-1.53512578335	-0.273191056756	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527	3.03066144527
