%  columns="iteration, evaluation, sigma, max axis length,  min axis length, all principle axes lengths  (sorted square roots of eigenvalues of C)", seed=391692, Sun Nov 27 17:04:31 2016
0 1 1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1 11 0.93166564217 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
2 21 0.851520516402 1.07058261758 0.971147231101 0.971147231101 0.97114732904 0.971147456731 0.971818922065 0.98002901693 0.985642362285 1.00441244377 1.07058261758
3 31 0.772237804622 1.1131239607 0.943241662684 0.943241662684 0.946295049453 0.951438787284 0.954233980168 0.962044483828 0.971151937154 1.01746899128 1.1131239607
4 41 0.7526189335 1.08736725311 0.919819986833 0.919819986833 0.927711850962 0.930868195154 0.94064305916 0.954662752402 0.973188603256 1.00743169269 1.08736725311
5 51 0.702471296704 1.07962489215 0.897806270692 0.897806270692 0.909027361663 0.91118829344 0.920033427832 0.977902382697 0.98554763543 1.02756492073 1.07962489215
6 61 0.679267135481 1.11737626127 0.8757416054 0.8757416054 0.886962461869 0.894362408635 0.902895913385 0.960627972945 0.967642425123 1.01252502034 1.11737626127
7 71 0.641394413394 1.12301888531 0.853868119814 0.853868119814 0.863086577885 0.877662507295 0.917309801455 0.954773963051 0.982718888953 1.00513601033 1.12301888531
8 81 0.590888704543 1.13525182608 0.829920716666 0.829920716666 0.848815432776 0.856607961116 0.897873468069 0.943722315382 0.959343044469 1.02288013376 1.13525182608
9 91 0.620299206788 1.11854063349 0.816134968949 0.816134968949 0.840084985515 0.84708032702 0.886960971788 0.921084389682 0.95463430385 1.03886607314 1.11854063349
10 101 0.639129730591 1.16785509064 0.795324289775 0.795324289775 0.822534930954 0.854353640468 0.886641510029 0.932079129431 0.957699567502 1.04462952228 1.16785509064
