% # iter+eval+sigma+0+fitness+xbest, seed=328489, Sun Nov 27 16:07:56 2016
1 12 0.933722326349 0 -1.74236636396 0.05 0.226379135898 0.56621893357 1.0 500.0 1036.48342545 1000.0 1.43326547125 35.8204674968 0.01 42.702499599 3.23648554725
2 23 0.93572244902 0 -2.01765261219 0.215051654634 0.771438897293 0.05 1.0 2566.6607586 966.741866146 4603.39075601 0.0754131169386 13.8570051422 0.01 12.2888861306 3.87886440262
3 34 0.886556313773 0 -0.297899990242 0.05 0.846946033803 0.134546566286 1.313572918 3675.79292615 500.0 3736.6130725 0.01 36.9745259938 1.40138980942 51.7710413458 2.98728612079
4 45 0.820132911602 0 -1.66940518648 0.05 0.199806808581 0.264920477396 1.0 2887.25475315 500.0 1027.50269832 0.209480801652 31.8210329921 1.69121922591 43.7715791097 4.87331064323
5 56 0.795828807323 0 -2.04193665716 0.05 0.714899742126 0.446774183221 1.31491712459 3562.96862929 2012.91956828 1922.44120835 1.05162452381 44.9906731645 1.83625863086 15.7087684846 5.0
6 67 0.763055891618 0 -1.42164471592 0.05 0.18003935137 0.491602879269 3.97646637248 3277.35855126 2044.80095697 2979.41174973 0.742994291514 33.8113942915 0.01 9.07055127655 5.0
7 78 0.666098316591 0 -1.46830110843 0.05 0.410839538987 0.18091110568 2.31591608819 2347.25655108 3448.90275526 2118.32606683 0.814789900934 51.9730693344 0.01 34.0061146516 5.0
8 89 0.632003410502 0 -2.32890321128 0.05 0.553146935405 0.436167898389 2.50707433669 1404.45619632 1326.839367 4905.79889023 0.961378195609 53.7323195964 1.11746553935 58.8272821439 5.0
9 100 0.588335432571 0 -1.74546862173 0.05 0.420453695747 0.348925281483 1.0 2825.94239868 2488.09921282 3959.0362753 1.45975010306 40.9897973605 0.0168862800173 68.8078411457 5.0
10 111 0.537769564547 0 -1.78266748606 0.05 0.517562170016 0.604860711527 3.28375526538 804.700290424 1562.79983869 4779.80875979 0.691080014663 62.9480693573 0.0301514618334 45.9035145416 4.60264401055
