% # columns=["iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=325831, Sun Nov 27 14:14:30 2016
0 1 1 0 0 0.999999817457 1.00000006764 1.00000018125 0.999999808693 0.99999995563 1.00000014142 1.00000015158 0.999999877365
1 11 0.856960563598 0 0 0.851354699535 0.842036107964 0.837450624803 0.839642304008 0.845685996728 0.840010104078 0.837933516509 0.843383426237
2 21 0.796137273544 0 0 0.780806328096 0.768531470035 0.77340615518 0.760699886891 0.774422668704 0.782571202697 0.792087680946 0.773329356669
3 31 0.756901936356 0 0 0.731012089219 0.721290184915 0.7214097893 0.71728475846 0.72734073845 0.77660655448 0.736928476588 0.733102572467
4 41 0.761834510602 0 0 0.728730520293 0.712497199332 0.731898290058 0.722867503201 0.722406315934 0.788615814309 0.727428231473 0.74018947041
5 51 0.759860978263 0 0 0.71433621878 0.709596605275 0.726439534241 0.739778790372 0.765694476434 0.771725394947 0.708688509695 0.740696636908
6 61 0.769370476809 0 0 0.723467809517 0.751440045783 0.747474581426 0.729960833906 0.763866269308 0.764085575717 0.714474068162 0.773805678235
7 71 0.764317894407 0 0 0.735648061934 0.744536736416 0.731850656507 0.718809897146 0.77388873613 0.74219351071 0.695849823795 0.768564721252
8 81 0.70087138448 0 0 0.675508467417 0.673698876017 0.657133661369 0.648114991362 0.699182069803 0.667821180016 0.646229576131 0.693361592168
9 91 0.626726059543 0 0 0.601738911294 0.590392126875 0.576760871913 0.582374960744 0.617825476048 0.58656483469 0.572929043885 0.612350901629
10 101 0.560175330344 0 0 0.531950792453 0.523147323 0.5022745845 0.50965142809 0.558906117102 0.512790771868 0.520964508702 0.539193353604
11 111 0.532520898251 0 0 0.499095523639 0.487945522 0.465945376312 0.484230398396 0.532826562829 0.487951476075 0.486538592272 0.509518979438
12 121 0.482077397903 0 0 0.446332380395 0.436345745799 0.411657330134 0.439368020301 0.476678707634 0.433425430068 0.438651614522 0.45296381687
13 131 0.443612080946 0 0 0.403766145677 0.405685589717 0.37986424747 0.39510591482 0.431074055529 0.389106539016 0.399299326133 0.409869518326
14 141 0.422548350666 0 0 0.387017083464 0.379135154013 0.353169435066 0.374684359249 0.412537513886 0.370548492026 0.372146973357 0.385141115662
15 151 0.427935097995 0 0 0.386960279669 0.387075697997 0.356497800229 0.372342382116 0.423974963836 0.3779350591 0.393044290562 0.380886472932
16 161 0.40141731977 0 0 0.355830455797 0.368686092107 0.330998065266 0.346789666251 0.399478950412 0.347203173774 0.367470335658 0.356010588485
17 171 0.389591345684 0 0 0.337772408358 0.354481279493 0.327118736238 0.329839860743 0.385558360339 0.328874758872 0.350453856664 0.338966822312
18 181 0.348562771677 0 0 0.302002709389 0.319802977866 0.290581685195 0.288222525878 0.339386831485 0.289207893957 0.311945331906 0.303414064829
19 191 0.355404744007 0 0 0.30869524686 0.326628530047 0.288117416259 0.302984156797 0.340076308818 0.295278559733 0.324464251642 0.30292571635
20 201 0.406592172513 0 0 0.357600636168 0.377792865408 0.322002554751 0.38883372003 0.398290083056 0.348947977254 0.373643464128 0.345044856656
