% # iter+eval+sigma+0+fitness+xbest, seed=376039, Sun Nov 27 11:06:36 2016
1 9 1.166160268 0 -2.35937161717 -1.06151634039 -2.31062881208 -2.61787042599 0.951110592304
2 17 1.05077458803 0 -2.18021193169 -3.01713391955 -3.5 -0.480729678536 0.77446213778
3 25 0.939044382058 0 -2.29498767099 -1.3979536709 -2.39820878132 1.00913590592 0.282051274507
4 33 0.905885063235 0 -2.14695450585 -5.3163806035 -1.19556468531 -0.447466284991 -1.40744710775
5 41 0.913211571073 0 -2.38953319351 -5.87608430008 -0.10759411837 1.73421927308 -1.03945960129
6 49 0.780386617855 0 -2.45219984469 -3.92172691479 1.38265893361 4.0 -2.58305933808
7 57 0.701753324084 0 -2.26730946051 -7.13136766539 -2.32334234704 0.567545658563 -1.60362833358
8 65 0.668274902531 0 -2.58804502854 -4.14594407025 -2.19918311662 -0.548334253636 -1.53015688895
9 73 0.573843575112 0 -2.21150223152 -4.45872408323 -1.94973937185 -0.652257484308 -1.04206259302
10 81 0.642328695323 0 -2.35715958175 -5.87782847095 -2.7365179438 1.37276552871 0.561442297498
11 89 0.68421507758 0 -2.62586279855 -6.63105931457 -2.46465215821 2.83548935821 0.0993814852117
12 97 0.623235064608 0 -2.26069695538 -4.91302443639 -3.5 4.0 -0.18471973449
13 105 0.6032843741 0 -2.44387121631 -6.83447091569 0.787236228517 4.0 -0.880170713913
14 113 0.495684311652 0 -2.21294467151 -7.43758167516 -2.04132268913 1.35550878472 -0.530985872736
15 121 0.472419798805 0 -2.52668562339 -4.77276554915 -2.6957504858 0.617868433147 -0.273473493009
16 129 0.471582767452 0 -2.37050068315 -4.47438798522 -3.5 0.27755409679 -0.11246980605
17 137 0.439386538495 0 -2.5251126812 -6.9431062709 -2.50443175668 0.932671411513 -1.13259983226
18 145 0.367170894653 0 -2.44758070735 -6.03075754211 -2.53229038764 1.01371819245 -0.746779839172
19 153 0.37695168011 0 -2.44779044125 -4.49035369378 -3.17654314142 0.421108577312 -0.639994300129
20 161 0.355358633293 0 -2.27612054988 -4.9956398758 -2.90989460626 1.30092834184 -0.791402742255
21 169 0.320110559119 0 -2.35906672747 -4.54541216005 -3.5 0.860796354409 -0.0971097929387
22 177 0.325727643126 0 -2.51188830201 -4.38126153308 -3.31345929945 0.858740409278 -0.103752231537
23 185 0.335069644512 0 -2.62500124481 -4.70375010367 -2.30371508621 0.244744055147 -0.725571771155
24 193 0.330176503975 0 -2.45482119155 -5.11957872075 -3.19582693744 0.0405930036847 -0.265149063501
25 201 0.316398591459 0 -2.59277466635 -6.27047228881 -2.33173944272 0.390017732214 -0.665906543389
