% # columns="iteration, evaluation, void, void, void, xmean", seed=376039, Sun Nov 27 11:06:36 2016 # scaling_of_variables: 5.1 2.1 2.1 2.1, typical_x: 0
0 0 0 0 0 -0.294117647059 0.0 0.714285714286 0.47619047619
1 9 0 0.0 nan 0.105101648299 -1.30164036792 -0.770169433254 0.523704148154
2 17 0 0.0 nan -0.36489706376 -1.12727165296 -0.630279515036 0.454229555716
3 25 0 0.0 nan -0.392982967106 -1.529567082 0.0611835820569 0.195497488485
4 33 0 0.0 nan -0.796531261133 -0.955744961072 0.408279587162 -0.483123217359
5 41 0 0.0 nan -0.952754534134 -0.0592878847485 0.77168109918 -0.618677201861
6 49 0 0.0 nan -1.23279255263 -0.646392261852 0.480511923901 -0.489678060785
7 57 0 0.0 nan -1.50249405677 -0.405731299513 0.499798097196 -0.287184992875
8 65 0 0.0 nan -0.872450307409 -1.07166339851 0.142302506642 -0.542965091862
9 73 0 0.0 nan -0.847873317847 -0.540458044154 0.29205331715 -0.498043872597
10 81 0 0.0 nan -0.841536039958 -0.985745690658 0.65003075195 0.0261223013688
11 89 0 0.0 nan -1.15344088126 -1.20075971376 0.975161010127 -0.0573235861825
12 97 0 0.0 nan -1.19832152527 -0.938073532448 1.18164139106 -0.107404235302
13 105 0 0.0 nan -1.30109099208 -0.419279073145 1.35270625853 -0.367686653598
14 113 0 0.0 nan -1.3290447093 -0.750361656755 0.946332084969 -0.361784783613
15 121 0 0.0 nan -0.995167172373 -1.08131941973 0.756174186904 -0.182524573613
16 129 0 0.0 nan -1.11135280367 -1.49692401165 0.640631427215 -0.107608048404
17 137 0 0.0 nan -1.23558538236 -1.09339199351 0.512352238096 -0.362233908531
18 145 0 0.0 nan -1.22449943453 -1.20373562107 0.521790638737 -0.381491611276
19 153 0 0.0 nan -1.06241256036 -1.40052527114 0.343335238599 -0.489013644121
20 161 0 0.0 nan -1.00144153267 -1.47217902329 0.542503159228 -0.378874705025
21 169 0 0.0 nan -0.937585194148 -1.56029967119 0.370107134102 -0.270340424586
22 177 0 0.0 nan -0.877107964811 -1.6146388473 0.364232608011 -0.0870739860543
23 185 0 0.0 nan -0.988926173446 -1.28263995105 0.267841656685 -0.246783714112
24 193 0 0.0 nan -0.989497018954 -1.33609505615 0.112559194036 -0.231616949661
25 201 0 0.0 nan -1.10286096913 -1.19537106466 0.118015811242 -0.314311943906
